repository,vulnerability_id,package,installed_version,priority_score,priority_label,reachability,human_label,review_notes
webgoat,GHSA-2p3x-qw9c-25hh,pkg:maven/com.thoughtworks.xstream/xstream@1.4.5,1.4.5,0.5925,high,reachable,,
webgoat,GHSA-2q8x-2p7f-574v,pkg:maven/com.thoughtworks.xstream/xstream@1.4.5,1.4.5,0.5925,high,reachable,,
webgoat,GHSA-3ccq-5vw3-2p6x,pkg:maven/com.thoughtworks.xstream/xstream@1.4.5,1.4.5,0.5925,high,reachable,,
webgoat,GHSA-43gc-mjxg-gvrq,pkg:maven/com.thoughtworks.xstream/xstream@1.4.5,1.4.5,0.5925,high,reachable,,
webgoat,GHSA-4cch-wxpw-8p28,pkg:maven/com.thoughtworks.xstream/xstream@1.4.5,1.4.5,0.5925,high,reachable,,
webgoat,GHSA-4hrm-m67v-5cxr,pkg:maven/com.thoughtworks.xstream/xstream@1.4.5,1.4.5,0.5925,high,reachable,,
webgoat,GHSA-56p8-3fh9-4cvq,pkg:maven/com.thoughtworks.xstream/xstream@1.4.5,1.4.5,0.5925,high,reachable,,
webgoat,GHSA-59jw-jqf4-3wq3,pkg:maven/com.thoughtworks.xstream/xstream@1.4.5,1.4.5,0.5925,high,reachable,,
webgoat,GHSA-64xx-cq4q-mf44,pkg:maven/com.thoughtworks.xstream/xstream@1.4.5,1.4.5,0.5925,high,reachable,,
webgoat,GHSA-6w62-hx7r-mw68,pkg:maven/com.thoughtworks.xstream/xstream@1.4.5,1.4.5,0.5925,high,reachable,,
webgoat,GHSA-6wf9-jmg9-vxcc,pkg:maven/com.thoughtworks.xstream/xstream@1.4.5,1.4.5,0.5925,high,reachable,,
webgoat,GHSA-74cv-f58x-f9wf,pkg:maven/com.thoughtworks.xstream/xstream@1.4.5,1.4.5,0.5925,high,reachable,,
webgoat,GHSA-7chv-rrw6-w6fc,pkg:maven/com.thoughtworks.xstream/xstream@1.4.5,1.4.5,0.5925,high,reachable,,
webgoat,GHSA-7hwc-46rm-65jh,pkg:maven/com.thoughtworks.xstream/xstream@1.4.5,1.4.5,0.5925,high,reachable,,
webgoat,GHSA-8jrj-525p-826v,pkg:maven/com.thoughtworks.xstream/xstream@1.4.5,1.4.5,0.5925,high,reachable,,
webgoat,GHSA-cxfm-5m4g-x7xp,pkg:maven/com.thoughtworks.xstream/xstream@1.4.5,1.4.5,0.5925,high,reachable,,
webgoat,GHSA-f554-x222-wgf7,pkg:maven/com.thoughtworks.xstream/xstream@1.4.5,1.4.5,0.5925,high,reachable,,
