all_tests_after_ok,analyzers,findings_after,findings_before,findings_introduced,findings_removed,functional_tests_before_ok,manual_review_status,model,repair_budget,repair_success,seed,strategy,task_id,vulnerability_reduction,run_dir
False,['builtin-python'],1,1,0,0,True,not_reviewed,fixture,1,False,0,identity,py-cwe-022-path-traversal,0.0,C:\Users\vasant.desai\OneDrive - Thermo Fisher Scientific\Documents\Learning\research\publication\publication-focused\static-analysis-guided-self-repair\outputs\verified-runs\20260424T082905Z-pc0pt-ide-00
True,['builtin-python'],0,1,0,1,True,not_reviewed,fixture,1,True,0,fixture,py-cwe-022-path-traversal,1.0,C:\Users\vasant.desai\OneDrive - Thermo Fisher Scientific\Documents\Learning\research\publication\publication-focused\static-analysis-guided-self-repair\outputs\verified-runs\20260424T082913Z-pc0pt-fix-00
False,['builtin-python'],1,1,0,0,True,not_reviewed,fixture,1,False,0,identity,py-cwe-078-command-injection,0.0,C:\Users\vasant.desai\OneDrive - Thermo Fisher Scientific\Documents\Learning\research\publication\publication-focused\static-analysis-guided-self-repair\outputs\verified-runs\20260424T082920Z-pc0ci-ide-00
True,['builtin-python'],0,1,0,1,True,not_reviewed,fixture,1,True,0,fixture,py-cwe-078-command-injection,1.0,C:\Users\vasant.desai\OneDrive - Thermo Fisher Scientific\Documents\Learning\research\publication\publication-focused\static-analysis-guided-self-repair\outputs\verified-runs\20260424T082930Z-pc0ci-fix-00
False,['builtin-python'],1,1,0,0,True,not_reviewed,fixture,1,False,0,identity,py-cwe-089-sql-injection,0.0,C:\Users\vasant.desai\OneDrive - Thermo Fisher Scientific\Documents\Learning\research\publication\publication-focused\static-analysis-guided-self-repair\outputs\verified-runs\20260424T082939Z-pc0si-ide-00
True,['builtin-python'],0,1,0,1,True,not_reviewed,fixture,1,True,0,fixture,py-cwe-089-sql-injection,1.0,C:\Users\vasant.desai\OneDrive - Thermo Fisher Scientific\Documents\Learning\research\publication\publication-focused\static-analysis-guided-self-repair\outputs\verified-runs\20260424T082947Z-pc0si-fix-00
False,['builtin-python'],1,1,0,0,True,not_reviewed,fixture,1,False,0,identity,py-cwe-094-eval-config,0.0,C:\Users\vasant.desai\OneDrive - Thermo Fisher Scientific\Documents\Learning\research\publication\publication-focused\static-analysis-guided-self-repair\outputs\verified-runs\20260424T082953Z-pc0ec-ide-00
True,['builtin-python'],0,1,0,1,True,not_reviewed,fixture,1,True,0,fixture,py-cwe-094-eval-config,1.0,C:\Users\vasant.desai\OneDrive - Thermo Fisher Scientific\Documents\Learning\research\publication\publication-focused\static-analysis-guided-self-repair\outputs\verified-runs\20260424T083002Z-pc0ec-fix-00
False,['builtin-python'],1,1,0,0,True,not_reviewed,fixture,1,False,0,identity,py-cwe-327-weak-hash,0.0,C:\Users\vasant.desai\OneDrive - Thermo Fisher Scientific\Documents\Learning\research\publication\publication-focused\static-analysis-guided-self-repair\outputs\verified-runs\20260424T083010Z-pc3wh-ide-00
True,['builtin-python'],0,1,0,1,True,not_reviewed,fixture,1,True,0,fixture,py-cwe-327-weak-hash,1.0,C:\Users\vasant.desai\OneDrive - Thermo Fisher Scientific\Documents\Learning\research\publication\publication-focused\static-analysis-guided-self-repair\outputs\verified-runs\20260424T083017Z-pc3wh-fix-00
False,['builtin-python'],1,1,0,0,True,not_reviewed,fixture,1,False,0,identity,py-cwe-330-insecure-token,0.0,C:\Users\vasant.desai\OneDrive - Thermo Fisher Scientific\Documents\Learning\research\publication\publication-focused\static-analysis-guided-self-repair\outputs\verified-runs\20260424T083024Z-pc3it-ide-00
True,['builtin-python'],0,1,0,1,True,not_reviewed,fixture,1,True,0,fixture,py-cwe-330-insecure-token,1.0,C:\Users\vasant.desai\OneDrive - Thermo Fisher Scientific\Documents\Learning\research\publication\publication-focused\static-analysis-guided-self-repair\outputs\verified-runs\20260424T083032Z-pc3it-fix-00
